category,subcategory,vendor_guess,date_guess,Name,FullName,Extension,Length,LastWriteTime
_junk,drop,,2023,~$siness Resume Emmett Alton Sartor November 2023.docx,C:\Users\alto8\Desktop\~$siness Resume Emmett Alton Sartor November 2023.docx,.docx,162,1/10/2024 11:04:36 AM
_junk,drop,,2025,~$siness Resume Emmett Alton Sartor december 2025.docx,C:\Users\alto8\Desktop\CV and Cover letters\~$siness Resume Emmett Alton Sartor december 2025.docx,.docx,162,1/11/2026 9:48:43 PM
_junk,drop,,2025,~$siness Resume Emmett Alton Sartor July 2025.docx,C:\Users\alto8\Desktop\CV and Cover letters\~$siness Resume Emmett Alton Sartor July 2025.docx,.docx,162,1/11/2026 9:48:43 PM
_junk,drop,,,~$PATHS888MS001DataRequestFormChecklistv014 Draft for MS PATHS Omics.docx,C:\Users\alto8\Downloads\~$PATHS888MS001DataRequestFormChecklistv014 Draft for MS PATHS Omics.docx,.docx,162,1/12/2022 8:15:58 AM
_junk,drop,,,README.TXT,C:\Users\alto8\Downloads\HealthSummary_Jan_16_2023\README.TXT,.TXT,4386,1/16/2023 7:16:46 AM
_junk,drop,,,swe.txt,C:\Users\alto8\Downloads\Install\Wlan_wiz\swe\swe.txt,.txt,7523,1/17/2017 10:21:12 PM
_junk,drop,,,tha.txt,C:\Users\alto8\Downloads\Install\Wlan_wiz\tha\tha.txt,.txt,7214,1/17/2017 10:21:12 PM
_junk,drop,,,eng.txt,C:\Users\alto8\Downloads\Install\Wlan_wiz\usa\eng.txt,.txt,7512,1/17/2017 10:21:12 PM
_junk,drop,,,eng.txt,C:\Users\alto8\Downloads\Install\Wlan_wiz\vit\eng.txt,.txt,7512,1/17/2017 10:21:12 PM
_junk,drop,,,~$Project PATH Overview June 23.pptx,C:\Users\alto8\Downloads\~$Project PATH Overview June 23.pptx,.pptx,165,1/18/2024 11:50:11 AM
_junk,drop,,,~$Clinical Investigation for Investigational Medical Devices Alton Edits.docx,C:\Users\alto8\Downloads\~$Clinical Investigation for Investigational Medical Devices Alton Edits.docx,.docx,162,1/18/2024 2:12:16 PM
_junk,drop,,,~$230109 Professional Consultancy Services Agreement.docx,C:\Users\alto8\Downloads\~$230109 Professional Consultancy Services Agreement.docx,.docx,162,1/23/2023 1:03:31 PM
_junk,drop,,,README - Open for Instructions.TXT,C:\Users\alto8\Downloads\HealthSummary_Jan_29_2024\README - Open for Instructions.TXT,.TXT,4624,1/29/2024 12:48:31 PM
_junk,drop,,,README - Open for Instructions.TXT,C:\Users\alto8\Downloads\HealthSummary_Jan_29_2024 (1)\README - Open for Instructions.TXT,.TXT,4624,1/29/2024 12:50:25 PM
_junk,drop,,,README - Open for Instructions.TXT,C:\Users\alto8\Downloads\HealthSummary_Jan_29_2024 (1) - Copy\README - Open for Instructions.TXT,.TXT,4624,1/29/2024 12:50:25 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Downloads\Planetary_Annihilation_Titans_Battleship_2274291\LICENSE.txt,.txt,85,10/1/2023 8:06:30 PM
_junk,drop,,,README.txt,C:\Users\alto8\Downloads\Planetary_Annihilation_Titans_Battleship_2274291\README.txt,.txt,117,10/1/2023 8:06:30 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Downloads\HMS_Visby_-_Swedish_navy_ship_653482\LICENSE.txt,.txt,83,10/1/2023 9:10:54 AM
_junk,drop,,,README.txt,C:\Users\alto8\Downloads\HMS_Visby_-_Swedish_navy_ship_653482\README.txt,.txt,100,10/1/2023 9:10:54 AM
_junk,drop,,,2025VAERSSYMPTOMS txt.txt,C:\Users\alto8\Downloads\Brick-like Clone Armor - 4793467\2025VAERSSYMPTOMS txt.txt,.txt,1020971,10/1/2025 2:26:00 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Downloads\Re-oriented_Skull_for_supportless_printing_443779\LICENSE.txt,.txt,82,10/14/2023 7:24:51 PM
_junk,drop,,,README.txt,C:\Users\alto8\Downloads\Re-oriented_Skull_for_supportless_printing_443779\README.txt,.txt,112,10/14/2023 7:24:51 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Downloads\Question_Block_Switch_Cartridge_Case_2517867\LICENSE.txt,.txt,85,10/6/2023 6:28:54 PM
_junk,drop,,,README.txt,C:\Users\alto8\Downloads\Question_Block_Switch_Cartridge_Case_2517867\README.txt,.txt,113,10/6/2023 6:28:54 PM
_junk,drop,,,[TGx]Downloaded from torrentgalaxy.to .txt,C:\Users\alto8\Desktop\downloads\Rick.and.Morty.S06E03.1080p.HEVC.x265-MeGusta[TGx]\[TGx]Downloaded from torrentgalaxy.to .txt,.txt,718,10/7/2022 12:16:15 PM
_junk,drop,,,source.txt,C:\Users\alto8\Desktop\downloads\Rick.and.Morty.S06E05.720p.WEB.x265-MiNX[TGx]\source.txt,.txt,41,10/7/2022 12:17:27 PM
_junk,drop,,,[TGx]Downloaded from torrentgalaxy.to .txt,C:\Users\alto8\Desktop\downloads\Rick.and.Morty.S06E05.720p.WEB.x265-MiNX[TGx]\[TGx]Downloaded from torrentgalaxy.to .txt,.txt,718,10/7/2022 12:17:27 PM
_junk,drop,,,[TGx]Downloaded from torrentgalaxy.to .txt,C:\Users\alto8\Desktop\downloads\Rick.and.Morty.S06E04.1080p.WEBRip.x264-BAE[TGx]\[TGx]Downloaded from torrentgalaxy.to .txt,.txt,718,10/7/2022 12:18:16 PM
_junk,drop,,,[TGx]Downloaded from torrentgalaxy.to .txt,C:\Users\alto8\Desktop\downloads\Rick.and.Morty.S06E01.1080p.WEBRip.x264-BAE[TGx]\[TGx]Downloaded from torrentgalaxy.to .txt,.txt,718,10/7/2022 12:20:43 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Downloads\Warhammer_Fortress_of_Sacrifice_Dice_Tower_3577456\LICENSE.txt,.txt,85,10/7/2023 5:03:24 PM
_junk,drop,,,README.txt,C:\Users\alto8\Downloads\Warhammer_Fortress_of_Sacrifice_Dice_Tower_3577456\README.txt,.txt,113,10/7/2023 5:03:24 PM
_junk,drop,,,Phase_I_Clone_Helmet__Head_Remix__5763498.zip,C:\Users\alto8\Downloads\Phase_I_Clone_Helmet__Head_Remix__5763498.zip,.zip,443255,11/1/2023 7:11:06 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Downloads\Phase_I_Clone_Helmet__Head_Remix__5763498\LICENSE.txt,.txt,77,11/1/2023 7:16:08 PM
_junk,drop,,,README.txt,C:\Users\alto8\Downloads\Phase_I_Clone_Helmet__Head_Remix__5763498\README.txt,.txt,102,11/1/2023 7:16:08 PM
_junk,drop,,,readmeind.rtf,C:\Users\alto8\Downloads\Install\Readme\readmeind.rtf,.rtf,99263,11/12/2012 5:57:37 AM
_junk,drop,,,~$CTCAE_v5.0 (3).xlsx,C:\Users\alto8\Downloads\~$CTCAE_v5.0 (3).xlsx,.xlsx,165,11/12/2024 11:44:44 AM
_junk,drop,,,~$d3465c00008-csp-v1 (10633056_0_35_221424) alton editing.docx,C:\Users\alto8\Downloads\~$d3465c00008-csp-v1 (10633056_0_35_221424) alton editing.docx,.docx,162,11/18/2025 5:02:58 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Downloads\Clone Trooper Phase 2 Lego compatible Helmet - 4831728\LICENSE.txt,.txt,135,11/2/2023 7:29:21 AM
_junk,drop,,,README.txt,C:\Users\alto8\Downloads\Clone Trooper Phase 2 Lego compatible Helmet - 4831728\README.txt,.txt,113,11/2/2023 7:29:21 AM
_junk,drop,,,Brick-like Clone Armor - 4793467.zip,C:\Users\alto8\Downloads\Brick-like Clone Armor - 4793467.zip,.zip,2394552,11/2/2023 7:36:06 AM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Downloads\Brick-like Clone Armor - 4793467\LICENSE.txt,.txt,106,11/2/2023 9:09:08 AM
_junk,drop,,,README.txt,C:\Users\alto8\Downloads\Brick-like Clone Armor - 4793467\README.txt,.txt,93,11/2/2023 9:09:08 AM
_junk,drop,,,readmekor.rtf,C:\Users\alto8\Downloads\Install\Readme\readmekor.rtf,.rtf,46290,11/3/2009 4:02:45 AM
_junk,drop,,,~$Copy of Dr. Emmet Sartor AR 07012019 to11012020_Exit report DATA with Diag listing.xlsx,C:\Users\alto8\Downloads\~$Copy of Dr. Emmet Sartor AR 07012019 to11012020_Exit report DATA with Diag listing.xlsx,.xlsx,165,11/30/2020 10:04:52 AM
_junk,drop,,,interface.txt,C:\Users\alto8\Downloads\DVD RW Drive\data\interface.txt,.txt,78,11/30/2020 9:49:47 PM
_junk,drop,,,BodyParts.txt,C:\Users\alto8\Downloads\DVD RW Drive\data\VIEWER\sys\data\Sequence\BodyParts.txt,.txt,4371,11/30/2020 9:50:41 PM
_junk,drop,,,~$Template_Literature Search Results.xlsx,C:\Users\alto8\Downloads\~$Template_Literature Search Results.xlsx,.xlsx,165,12/1/2022 11:15:00 AM
_junk,drop,,2023,~$siness Resume Emmett Alton Sartor Dec 2023.docx,C:\Users\alto8\Desktop\~$siness Resume Emmett Alton Sartor Dec 2023.docx,.docx,162,12/12/2023 10:53:43 AM
_junk,drop,,2020,~$tober 2020 New Hire Employee Onboarding_Not published (1).docx,C:\Users\alto8\Desktop\Biogen Folder\~$tober 2020 New Hire Employee Onboarding_Not published (1).docx,.docx,162,12/16/2020 8:27:15 AM
_junk,drop,,2024,~$d of year Reflection 2024 Emmett Alton Sartor.docx,C:\Users\alto8\Desktop\~$d of year Reflection 2024 Emmett Alton Sartor.docx,.docx,162,12/23/2024 12:45:11 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\signal-exit\LICENSE.txt,.txt,748,12/29/2025 3:22:03 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\whatwg-url\LICENSE.txt,.txt,1088,12/29/2025 3:22:03 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\baseline-browser-mapping\LICENSE.txt,.txt,11357,12/29/2025 3:22:04 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\buffer-equal-constant-time\LICENSE.txt,.txt,1518,12/29/2025 3:22:04 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\cliui\LICENSE.txt,.txt,731,12/29/2025 3:22:04 PM
_junk,drop,,,license.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\deepmerge\license.txt,.txt,1116,12/29/2025 3:22:04 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\html-escaper\LICENSE.txt,.txt,1089,12/29/2025 3:22:04 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\limiter\LICENSE.txt,.txt,1079,12/29/2025 3:22:04 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\test-exclude\LICENSE.txt,.txt,731,12/29/2025 3:22:04 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\tslib\LICENSE.txt,.txt,655,12/29/2025 3:22:04 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\v8-to-istanbul\LICENSE.txt,.txt,731,12/29/2025 3:22:04 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\yargs-parser\LICENSE.txt,.txt,731,12/29/2025 3:22:04 PM
_junk,drop,,,license.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\esquery\license.txt,.txt,1488,12/29/2025 3:22:05 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\@bcoe\v8-coverage\LICENSE.txt,.txt,731,12/29/2025 3:22:06 PM
_junk,drop,,,LICENSE.txt,C:\Users\alto8\Documents\Sartor-claude-network\node_modules\typescript\LICENSE.txt,.txt,9197,12/29/2025 3:22:08 PM
_junk,drop,,,readmefin.rtf,C:\Users\alto8\Downloads\Install\Readme\readmefin.rtf,.rtf,8285,12/8/2008 11:07:26 PM
_junk,drop,,,readmefrc.rtf,C:\Users\alto8\Downloads\Install\Readme\readmefrc.rtf,.rtf,8274,12/8/2008 11:09:41 PM
_junk,drop,,,readmefre.rtf,C:\Users\alto8\Downloads\Install\Readme\readmefre.rtf,.rtf,8274,12/8/2008 11:09:41 PM
